facility,latitude,longitude,keph_level,county,subcounty,ward,facility_status,facility_type,facility_owner
Bubisa healthcentre,2.6949924,38.0931879,Level 3,Marsabit,North Horr,Turbi,open,Health Center,Government/Public Entity
Tigo Dispensary,3.0931207,38.2540147,Level 2,Marsabit,North Horr,Turbi,open,Dispensary,Government/Public Entity
New Hope Medical Centre (Machakos),-1.40889,37.5646112,Level 2,Machakos,NA,Wamunyu,open,Medical Clinic,Private
Abicom,-0.4383692,37.1068717,Level 2,Nyeri,Mathira West,Kirimukuyu,open,Dispensary,Private
Afya Medical Clinic (Muranga North),-0.6524305,36.8986702,Level 2,Muranga,Kangema,Rwathia,open,Medical Clinic,Private
Aguthi Dispensary,-0.501829,37.0239489,Level 2,Nyeri,Tetu,Aguthi-gaaki,open,Dispensary,Government/Public Entity
Ahadi Health and Maternity Services,-1.0013013,36.7413292,Level 2,Kiambu,Lari,Nyanduma,open,Medical Clinic,Private
Cardinal Otunga Health Centre,-0.9889686,36.9557562,Level 2,Kiambu,Gatundu North,Mang'u,open,Health Center,Faith Based
Princess Diamond Medical Clinic (Narok),-1.2286423,34.8092668,Level 2,Narok,NA,Lolkorian,open,Medical Clinic,Private
Gituamba (AIPCA) Dispensary,-0.9432476,36.987037,Level 2,Muranga,Gatanga,Mugumo-ini,open,Dispensary,Faith Based
Gladwell Community Health Services,-0.4921798,36.9677339,Level 2,Nyeri,Tetu,Wamagana,open,Medical Clinic,Private
AMA (Africa Muslim Agency) Clinic,-1.0592164,37.1140821,Level 2,Kiambu,Thika Town,Kamenu,open,Health Center,Faith Based
Nahrain Dental Clinic (Nairobi),-1.2716515,36.8481675,Level 2,Nairobi,NA,Kamkunji,open,Medical Clinic,Private
Amboni Dispensary,-0.3375199,36.8727928,Level 2,Nyeri,Kieni West,Mweiga,open,Dispensary,Government/Public Entity
Anmer Dispensary,-1.1371382,36.8476017,Level 2,Kiambu,Kiambu Town,Ting'ang'a,open,Dispensary,Government/Public Entity
Annunciation Catholic Dispensary,-1.2129787,36.9694991,Level 2,Kiambu,Ruiru,Mwihoko,open,Dispensary,Faith Based
Rescue Centre (Thika),-1.0593417,37.135235,Level 2,Kiambu,Thika Town,Hospital,open,Dispensary,Government/Public Entity
Arcade Medical Clinic,-0.4802361,37.1240064,Level 2,Nyeri,Mathira East,Karatina Town,open,Medical Clinic,Private
Asantey Clinic,-1.0351624,37.076757,Level 2,Kiambu,Thika Town,Kamenu,open,Medical Clinic,Private
Assumption of Mary Health Centre,-0.999247,37.3392051,Level 3,Muranga,Gatanga,Ithanga,open,Nursing Home,Faith Based
Athi Dispensary,-1.1695868,37.1449677,Level 2,Kiambu,Juja,Kalimoni,open,Dispensary,Government/Public Entity
Atlas Medical Clinic,-0.5478429,36.9429822,Level 2,Nyeri,Nyeri South,Iria-ini,open,Medical Clinic,Private
Baari Health centre,0.0118418,36.4146235,Level 3,Nyandarua,Ndaragwa,Kiritta,open,Health Center,Government/Public Entity
Bamboo Health Centre,-0.8627436,36.5663302,Level 3,Nyandarua,Kinangop,Magumu,open,Health Center,Government/Public Entity
Baraka Medical Clinic (Muranga North),-0.7405149,36.9659554,Level 2,Muranga,Kiharu,Township,open,Medical Center,Private
Baricho Catholic Health Centre,-0.5540185,37.2290449,Level 3,Kirinyaga,Kirinyaga West,Mukure,open,Health Center,Faith Based
Baricho Health Centre,-0.5529472,37.2397435,Level 3,Kirinyaga,Kirinyaga West,Mukure,open,Health Center,Government/Public Entity
Batian Medical Services Medical Clinic,0.5862918,34.5664299,Level 3,Bungoma,NA,Khalaba,open,Medical Center,Private
Bellevue Health Centre,-0.2280056,36.730158,Level 3,Nyeri,Kieni West,Mugunda,open,Health Center,Government/Public Entity
Bennedict XVI hospital,0.0391024,36.3348907,Level 2,Laikipia,Laikipia West,Igwamiti,open,Hospital,Faith Based
Beta Care Nursing Home,-1.292066,36.821946,Level 3,Kiambu,Githunguri,Githunguri,open,Medical Center,Faith Based
Bethany Family Clinic,-0.3012488,36.7710582,Level 2,Nyeri,Kieni West,Gatarakwa,open,Medical Clinic,Private
Bethsaida Medical Clinic (Gatundu),-1.0126997,36.9051602,Level 2,Kiambu,Gatundu South,Ngenda,open,Medical Clinic,Private
Boore Clinic,-1.0362653,37.0766017,Level 2,Kiambu,Thika Town,Township,open,Medical Clinic,Private
Burguret Dispensary,-0.0738952,37.0009216,Level 2,Nyeri,Kieni East,Gakawa,open,Dispensary,Government/Public Entity
Joschem Medical Centre (Nairobi),-1.2760948,36.8994359,Level 3,Nairobi,NA,Umoja 2,open,Medical Center,Private
Ciagini Health Centre,-0.7562441,37.3791168,Level 3,Kirinyaga,Kirinyaga North/Mwea West,Wamumu,open,Health Center,Government/Public Entity
Christian Community Services Clinic Base Kerugoya,-0.5029595,37.2790603,Level 2,Kirinyaga,Kirinyaga Central,Kerugoya,open,Dispensary,Faith Based
Christian Community Services Wang'uru Health Centre,-0.6875603,37.351953,Level 2,Kirinyaga,Kirinyaga South,Tebere,open,Health Center,Faith Based
Tassia Health  Centre (Nairobi),-1.3108771,36.8993797,Level 2,Nairobi,NA,Embakasi,open,Medical Clinic,Private
Mahadco Medical Centre (Nairobi),-1.2707923,36.8475634,Level 2,Nairobi,NA,Kamkunji,open,Medical Center,Private
Hasaf Health Centre (Nairobi),-1.2693937,36.8472,Level 2,Nairobi,NA,Kamkunji,open,Health Center,Private
Cianda Dispensary,-1.1306407,36.7644151,Level 2,Kiambu,Kiambaa,Cianda,open,Dispensary,Government/Public Entity
Comrade Nurising Home,-0.68355,37.3548365,Level 3,Kirinyaga,Kirinyaga South,Tebere,open,Nursing Home,Private
Coffee Research Staff dispensary,-1.096854,36.9069202,Level 2,Kiambu,Juja,Murera,open,Dispensary,Government/Public Entity
Cura (ACK) Medical Clinic,-1.217276,36.6908298,Level 2,Kiambu,Kabete,Gitaru,open,Medical Clinic,Faith Based
Del Monte Dispensary,-1.0305344,37.1177343,Level 2,Muranga,Gatanga,Kakuzi/Mitubiri,open,Dispensary,Private
Difathas Catholic Dispensary,-0.5541535,37.4008381,Level 2,Kirinyaga,Kirinyaga South,Murinduko,open,Dispensary,Faith Based
Difathas Health Centre,-0.5540311,37.4018186,Level 3,Kirinyaga,Kirinyaga South,Murinduko,open,Health Center,Government/Public Entity
Don Bosco Catholic Dispensary,-0.9086855,37.1973654,Level 2,Muranga,muranga south,Makuyu,open,Dispensary,Faith Based
Kianjogu Dispensary (Nyandarua),0.0018483,36.5419872,Level 2,Nyandarua,NA,Ndaragwa,open,Dispensary,Government/Public Entity
Amo Dental Clinic (Nyamira),-0.5572763,34.9299806,Level 2,Nyamira,NA,Township,open,Stand-Alone service,Private
Dr Kanina B K Urology Clinic,-0.4245499,36.9354412,Level 2,Nyeri,Nyeri Central,Kiganjo/Mathari,open,Medical Clinic,Private
Dr Kariuki N M Psychiatric Clinic,-0.4230179,36.9530212,Level 2,Nyeri,Nyeri Central,Rware,open,Medical Clinic,Private
Dr Kimani Gicharo Clinic,-1.0342753,37.0747161,Level 2,Kiambu,Thika Town,Township,open,Medical Clinic,Private
Port Florence Kisumu Town Clinic (Kisumu),-0.104146,34.7526002,Level 3,Kisumu,NA,Milimani Market,open,Hospital,Private
Dr M M Mburu Gynae / Obstretric Clinic,-0.4210498,36.9488067,Level 2,Nyeri,Nyeri Central,Rware,open,Medical Clinic,Private
Dr Macharia,-1.2884754,36.8270955,Level 2,Kiambu,Thika Town,Township,open,Medical Clinic,Private
Dr Maina,-1.0385426,37.0809323,Level 2,Kiambu,Thika Town,Hospital,open,Medical Clinic,Private
Thika Arcade Health Services,-1.0385215,37.0768967,Level 2,Kiambu,Thika Town,Township,open,Medical Center,Private
Dr Mulingwa,-1.0364164,37.0760985,Level 2,Kiambu,Thika Town,Kamenu,open,Medical Clinic,Private
New Life Home Trust (Kisumu),-0.1170643,34.7528234,Level 2,Kisumu,NA,Milimani market,open,Medical Clinic,Private
Dr Mwangi Medical Clinic,-0.4219189,36.9505447,Level 2,Nyeri,Nyeri Central,Rware,open,Medical Clinic,Private
Ebenezer Medical Clinic (Lari),-1.0400983,36.638411,Level 2,Kiambu,Lari,Lari/Kirenga,open,Medical Clinic,Private
Ebenezer Intergrated Health Services,-1.0435342,37.0939426,Level 2,Kiambu,Thika Town,Township,open,Medical Clinic,Private
Embaringo Dispensary,-0.2589028,36.7281277,Level 2,Nyeri,Kieni West,Gatarakwa,open,Dispensary,Government/Public Entity
Emmanuel Medical Clinic (Nyeri North),-0.1224389,36.7788628,Level 2,Nyeri,Kieni West,Mugunda,open,Medical Clinic,Private
Endarasha Rural Health Centre,-0.3065368,36.7936245,Level 3,Nyeri,Kieni West,Mwiyogo/Endarasha,open,Health Center,Government/Public Entity
Eunice Medical Clinic,-0.5477465,36.9429233,Level 2,Nyeri,Nyeri South,Iria-ini,open,Medical Clinic,Private
Faith Medical Clinic (Nyeri North),-0.3277452,36.9053469,Level 2,Nyeri,Kieni West,Mweiga,open,Medical Clinic,Government/Public Entity
Potter Community Healthcare (Nairobi),-1.2741149,36.9189039,Level 3,Nairobi,NA,Kayole,open,Medical Clinic,Private
Light Medical Centre (Nairobi),-1.285053,36.7351234,Level 2,Nairobi,NA,Kawangware,open,Medical Clinic,Private
Blitz Medical Centre (Nairobi),-1.1987203,36.902312,Level 2,Nairobi,NA,Zimmerman,open,Medical Center,Private
Focus Medical Clinic and Counselling Centre,-1.208936,36.9178179,Level 2,Kiambu,Ruiru,Mwiki,open,Medical Center,Private
Fr Baldo Catholic Dispensary,-0.2750652,36.3696798,Level 2,Nyandarua,Olkalou,Karau,open,Dispensary,Faith Based
Frayjoy Clinic (Dr Tumbo),-0.5687484,37.3252097,Level 2,Kirinyaga,Kirinyaga South,Nyangati,open,Nursing Home,Private
Gacharage Dispensary,-0.8630818,36.9643204,Level 2,Muranga,Kandara,Ithiru,open,Dispensary,Government/Public Entity
Gacharageini Dispensary,-0.6293348,36.8791398,Level 2,Muranga,Mathioya,Kiru,open,Dispensary,Government/Public Entity
Gachege Dispensary,-0.9099776,36.8081916,Level 2,Kiambu,Gatundu North,Githobokoni,open,Dispensary,Government/Public Entity
Gachika Dispensary,-0.9760561,36.7815333,Level 2,Kiambu,Gatundu South,Kiganjo,open,Dispensary,Government/Public Entity
Gaciongo Dispensary (Kirinyaga),-0.4759657,37.4134404,Level 2,Kirinyaga,Kirinyaga East,Njukiine,open,Dispensary,Government/Public Entity
Gakawa Dispensary,-0.0273108,37.0792648,Level 2,Nyeri,Kieni East,Gakawa,open,Dispensary,Government/Public Entity
Gakoe Health Centre,-0.8917132,36.811254,Level 3,Kiambu,Gatundu North,Githobokoni,open,Health Center,Government/Public Entity
Gatanga Dispensary,-0.9386353,36.9622503,Level 2,Muranga,Gatanga,Gatanga,open,Dispensary,Faith Based
Gatangara Dispensary,-0.7116596,36.954866,Level 2,Muranga,Kangema,Kanyenya-ini,open,Dispensary,Government/Public Entity
Gatei Dispensary,-0.4025021,37.1521001,Level 2,Nyeri,Mathira East,Magutu,open,Health Center,Government/Public Entity
Gathaithi Dispensary,-0.7498027,36.9146696,Level 2,Muranga,Kiharu,Murarandia,open,Dispensary,Government/Public Entity
Gathambi Health Centre,-0.4685382,37.2111636,Level 3,Kirinyaga,Kirinyaga West,Mukure,open,Health Center,Government/Public Entity
Gathanga Health Centre,-1.1918347,36.7935287,Level 3,Kiambu,Kiambaa,Muchatha,open,Dispensary,Government/Public Entity
Gathara Dispensary,-0.630028,36.6144967,Level 2,Nyandarua,Kinangop,Gathara,open,Dispensary,Government/Public Entity
Gatheru Dispensary,-0.7324745,37.074903,Level 2,Muranga,Kiharu,Wangu,open,Dispensary,Government/Public Entity
Gathigiriri Health Centre,-0.6933381,37.4057049,Level 3,Kirinyaga,Kirinyaga South,Gathigiriri,open,Health Center,Government/Public Entity
Nami Medical Clinic Kakubudu (Vihiga),0.1500946,34.8993723,Level 2,Nandi,NA,Shiru,open,Medical Clinic,Private
Gatina Dispensary,-0.5469282,37.1454721,Level 2,Nyeri,Mathira East,Konyu,open,Dispensary,Government/Public Entity
Gatithi Dispensary,-0.5830588,37.1920869,Level 2,Kirinyaga,Kirinyaga West,Kiine,open,Dispensary,Government/Public Entity
Gatitu Dispensary,-0.4593383,36.9968166,Level 2,Nyeri,Nyeri Central,Gatitu/Muruguru,open,Dispensary,Government/Public Entity
Gatondo Dispensary (Kipipiri),-0.262923,36.5113302,Level 2,Nyandarua,Kipipiri,Wanjohi,open,Dispensary,Government/Public Entity
Gatondo Dispensary (Nyeri North),-0.4332459,37.1656654,Level 2,Nyeri,Mathira East,Iriaini,open,Dispensary,Government/Public Entity
Mandera Optical And Eye Clinic (Mandera),3.937005,41.8591654,Level 3,Mandera,NA,Township,open,Medical Clinic,Private
Gatuamba Medical Clinic,-0.2479592,37.0320901,Level 2,Nyeri,Kieni East,Naromoru/Kiamathaga,open,Medical Clinic,Private
Gatuanyaga Dispensary,-1.0756688,37.1815523,Level 2,Kiambu,Thika Town,Gatuanyaga,open,Dispensary,Government/Public Entity
Gatugura Dispensary,-0.4603587,37.3190088,Level 2,Kirinyaga,Kirinyaga East,Kabare,open,Dispensary,Government/Public Entity
Gatumbi (SDA) Dispensary,-0.4183185,37.3931894,Level 2,Kirinyaga,Kirinyaga East,Ngariama,open,Dispensary,Faith Based
Gatunyu Dispensary,-0.9605591,36.9917039,Level 2,Muranga,Gatanga,Mugumo-ini,open,Dispensary,Government/Public Entity
Gatura Healh Centre,-0.8627177,36.8620275,Level 3,Muranga,Gatanga,Kariara,open,Health Center,Government/Public Entity
Gatwe Health Centre,-0.4347191,37.2382787,Level 3,Kirinyaga,Kirinyaga Central,Mutira,open,Health Center,Government/Public Entity
Lyns Medical Laboratory (Uasin Gishu),0.5161005,35.2765021,Level 2,Uasin Gishu,NA,Kimumu,open,Stand-Alone service,Private
Geta Bush Health centre,-0.4115877,36.5840043,Level 3,Nyandarua,Kipipiri,Geta,open,Health Center,Government/Public Entity
Geta Forest Dispensary,-0.4445885,36.5943195,Level 2,Nyandarua,Kinangop,North Kinangop,open,Dispensary,Government/Public Entity
Maai Mahiu Medical Centre (Nakuru),-0.9789439,36.5828851,Level 2,Nakuru,NA,Maai mahiu,open,Medical Clinic,Private
Giathanini Dispensary,-0.9425214,37.3186227,Level 2,Machakos,Gatanga,Ithanga,open,Dispensary,Government/Public Entity
Gichiche Health Centre,-0.5801007,36.9204146,Level 3,Nyeri,Nyeri South,Chinga,open,Health Center,Government/Public Entity
Gichiche Medical Clinic,-0.5783929,36.9250874,Level 2,Nyeri,Nyeri South,Chinga,open,Medical Clinic,Private
Gichira Health Centre,-0.4843541,37.0087764,Level 3,Nyeri,Tetu,Aguthi-gaaki,open,Health Center,Government/Public Entity
Gichuru Dispensary,-1.2139,36.6602317,Level 2,Kiambu,Kikuyu,Sigona,open,Dispensary,Government/Public Entity
Gikoe Dispensary,-0.7618,36.9063917,Level 2,Muranga,Kigumo,Kinyona,open,Dispensary,Government/Public Entity
Gikui Health Centre,-0.6866059,37.0192937,Level 3,Muranga,Kangema,Muguru,open,Health Center,Government/Public Entity
Gitare Health Centre (Gatundu),-1.0029172,36.8188654,Level 3,Kiambu,Gatundu South,Kiganjo,open,Health Center,Government/Public Entity
Gitaro Dispensary,-0.7459394,37.0746604,Level 2,Muranga,Kiharu,Mugoiri,open,Dispensary,Government/Public Entity
Githagara Health Centre,-0.7599701,37.0133437,Level 3,Muranga,Kiharu,Mugoiri,open,Health Center,Government/Public Entity
The Pramukh Hospital Limited (Bungoma),0.5594134,34.5610754,Level 3,Bungoma,NA,Township,open,Medical Center,Private
Githiga Health Centre,-1.0874199,36.7354003,Level 3,Kiambu,Githunguri,Githiga,open,Health Center,Government/Public Entity
Githirioni Dispensary,-1.0241819,36.6500814,Level 2,Kiambu,Lari,Lari/Kirenga,open,Dispensary,Government/Public Entity
Elephant Dental Kasarani (Nairobi),-1.2191031,36.8954292,Level 2,Nairobi,NA,Kasarani,open,other,Private
Githunguri Health Centre,-1.0574388,36.7778834,Level 3,Kiambu,Githunguri,Githunguri,open,Health Center,Government/Public Entity
Githunguri Health Services Clinic,-1.0556318,36.7765948,Level 2,Kiambu,Githunguri,Githunguri,open,Medical Center,Private
Githunguri Heathwatch Clinic,-1.0606345,36.7715486,Level 2,Kiambu,Githunguri,Githunguri,open,Medical Center,Private
Githunguri Medical Plaza Clinic,-1.0562981,36.7785832,Level 2,Kiambu,Githunguri,Githunguri,open,Medical Clinic,Private
Nuclear Medical and Diagnostic Centre,-0.4449403,37.4102666,Level 2,Kirinyaga,Kirinyaga East,Ngariama,open,Medical Center,Private
Gitiha Dispensary,-1.0668453,36.6873419,Level 2,Kiambu,Githunguri,Githiga,open,Dispensary,Government/Public Entity
Gituamba Medical Clinic,-0.906841,36.8599879,Level 2,Kiambu,Gatundu North,Gituamba,open,Medical Clinic,Private
Gitugi Health Centre (Muranga North),-0.65401,37.0275728,Level 2,Muranga,Mathioya,Gitugi,open,Health Center,Government/Public Entity
Gitugi Dispensary (Nyeri South),-0.51422,36.862565,Level 2,Nyeri,Nyeri South,Mahiga,open,Dispensary,Government/Public Entity
Gituru (AIC) Dispensary,-0.8223727,36.8689984,Level 2,Muranga,Kandara,Ruchu,open,Dispensary,Faith Based
GK Prison Dispensary (Gathigiriri ),-0.6935188,37.4009968,Level 2,Kirinyaga,Kirinyaga South,Gathigiriri,open,Dispensary,Government/Public Entity
GK Prison Dispensary (Kingongo),-0.4167181,36.9593577,Level 2,Nyeri,Nyeri Central,Rware,open,Dispensary,Government/Public Entity
GK Prison Dispensary (Murang'a),-0.7214631,37.1521575,Level 2,Muranga,Kiharu,Township,open,Dispensary,Government/Public Entity
Ruiru GK Prison Dispensary,-1.1411416,36.9267191,Level 2,Kiambu,Ruiru,Gitothua,open,Medical Clinic,Government/Public Entity
GK Prisons Dispensary (Kiambu Town),-1.1747021,36.829817,Level 2,Kiambu,Kiambu Town,Township,open,Health Center,Government/Public Entity
Glory Medical Clinic,-1.1044628,37.0135652,Level 2,Kiambu,Juja,Juja,open,Medical Clinic,Private
St Julians Medical Clinic (Makueni),-1.9470331,37.3836112,Level 2,Makueni,NA,Kasikue,open,Medical Clinic,Private
Good Samaritan (ACK) Medical Clinic,-0.4197703,36.949516,Level 2,Nyeri,Nyeri Central,Rware,open,Medical Clinic,Private
Good Samaritan Health Services (Kirinyaga),-0.622804,37.2576319,Level 2,Kirinyaga,Kirinyaga North/Mwea West,Mutithi,open,Medical Clinic,Private
Gracious Medical Clinic,-0.8161242,36.116347,Level 2,Laikipia,Laikipia East,Ngobit,open,Medical Clinic,Private
GSU Dispensary (Ruiru),-1.1289177,36.9731306,Level 2,Kiambu,Juja,Murera,open,Dispensary,Government/Public Entity
Gumba Health Centre,-0.604851,37.1371867,Level 3,Nyeri,Mukurweini,Rugi,open,Health Center,Government/Public Entity
Parklands Mindcare (Nairobi),-1.2624552,36.8223555,Level 3,Nairobi,NA,Parklands,open,Medical Center,Private
Heni Health Centre,-0.7842023,36.5575186,Level 3,Nyandarua,Kinangop,Githabai,open,Health Center,Government/Public Entity
Holy Cross Dispensary,-1.1890641,36.5977684,Level 2,Kiambu,Limuru,Ndeiya,open,Dispensary,Faith Based
Holy Rosary Ikinu Dispensary,-1.0991189,36.7987807,Level 2,Kiambu,Githunguri,Ikinu,open,Dispensary,Faith Based
Hope Medical Clinic (Gatundu South),-0.9954031,36.8497015,Level 2,Kiambu,Gatundu South,Kiganjo,open,Medical Clinic,Private
Ichagachiru Dispensary,-0.4482457,36.8642933,Level 2,Nyeri,Tetu,Dedan Kimathi,open,Dispensary,Government/Public Entity
Ichagaki (Mission) Health Centre,-0.8107957,37.0868463,Level 3,Muranga,muranga south,Ichagaki,open,Health Center,Faith Based
Ichamara Dispensary,-0.5470749,37.0833839,Level 2,Nyeri,Mukurweini,Mukurwe-ini Central,open,Dispensary,Government/Public Entity
Ichichi Dispensary,-0.7047843,36.8405394,Level 2,Muranga,Kangema,Kanyenya-ini,open,Dispensary,Government/Public Entity
Igana Dispensary,-0.5848059,37.0937732,Level 2,Nyeri,Mukurweini,Rugi,open,Dispensary,Government/Public Entity
Ihuririo Dispensary,-0.5486443,36.8884907,Level 2,Nyeri,Nyeri South,Iria-ini,open,Dispensary,Government/Public Entity
Ihururu Health Centre,-0.4118325,36.890178,Level 3,Nyeri,Tetu,Dedan Kimathi,open,Health Center,Government/Public Entity
Immanuel Medical Clinic (Kimende),-0.979272,36.6293919,Level 2,Kiambu,Lari,Kijabe,open,Medical Clinic,Private
Irigiro Dispensary,-0.8563878,37.1287438,Level 2,Muranga,Kigumo,Muthithi,open,Dispensary,Government/Public Entity
Iruri Dispensary,-0.6155291,37.021875,Level 2,Muranga,Mathioya,Kamacharia,open,Dispensary,Government/Public Entity
Island Farms  Health Centre,-0.2903607,37.104318,Level 3,Nyeri,Kieni East,Kabaru,open,Health Center,Government/Public Entity
Ithanga Health Centre,-0.9937636,37.3393686,Level 3,Muranga,Gatanga,Ithanga,open,Health Center,Government/Public Entity
Ithare Medical Clinic,-0.5036311,37.3119781,Level 2,Kirinyaga,Kirinyaga East,Kabare,open,Medical Clinic,Private
Ithe-Kahuno Medical Clinic,-0.5086566,37.0457633,Level 2,Nyeri,Tetu,Aguthi-gaaki,open,Medical Clinic,Private
Itiati Dispensary,-0.4137386,37.1088113,Level 2,Nyeri,Mathira West,Ruguru,open,Dispensary,Government/Public Entity
Itundu Dispensary,-0.4163565,37.1847449,Level 2,Nyeri,Mathira East,Iriaini,open,Dispensary,Government/Public Entity
Jamii Medical Clinic (Gatundu),-0.921711,36.8444012,Level 2,Kiambu,Gatundu North,Githobokoni,open,Medical Clinic,Private
Jamii Medical Clinic (Muranga North),-0.749747,37.0077568,Level 2,Muranga,Kiharu,Mugoiri,open,Medical Clinic,Private
Jirani Medical Clinic,-0.7316546,37.1501299,Level 2,Muranga,Kiharu,Township,open,Medical Clinic,Private
Joshua Mbai Memorial Dispensary,-0.4439874,37.4109333,Level 2,Kirinyaga,Kirinyaga East,Ngariama,open,Dispensary,Government/Public Entity
Joyland Medical Clinic,-1.1020044,37.014104,Level 2,Kiambu,Juja,Juja,open,Medical Clinic,Private
Juja Farm Health Centre,-1.1663946,37.082045,Level 3,Kiambu,Juja,Kalimoni,open,Medical Center,Government/Public Entity
Kabare Health Centre,-0.5053325,37.3201498,Level 3,Kirinyaga,Kirinyaga East,Kabare,open,Health Center,Government/Public Entity
Kabati Dispensary,-0.2314252,36.8232278,Level 2,Nyeri,Kieni West,Gatarakwa,open,Dispensary,Government/Public Entity
Kabati Medical Clinic,-0.9524023,37.109178,Level 2,Muranga,muranga south,Kimorori/Wempa,open,Medical Clinic,Private
Amalilab Diagnostic Services (Nairobi),-1.2896251,36.7381836,Level 2,Nairobi,NA,Riruta,open,Stand-Alone service,Private
Kagaa Health Centre,-1.0283186,36.7086116,Level 3,Kiambu,Lari,Kamburu,open,Medical Center,Government/Public Entity
Kagere Dispensary,-0.5061684,36.9484158,Level 2,Nyeri,Nyeri South,Mahiga,open,Dispensary,Government/Public Entity
Kagicha Dispensary,-0.6003081,36.9019607,Level 2,Nyeri,Nyeri South,Chinga,open,Dispensary,Government/Public Entity
Kagio Catholic Dispensary (Mary Immucate Catholic Dispensary),-0.6223017,37.2536783,Level 2,Kirinyaga,Kirinyaga West,Kiine,open,Dispensary,Faith Based
Kagio Hospital,-0.6306401,37.2501734,Level 3,Kirinyaga,Kirinyaga West,Kiine,open,Hospital,Private
Kagonye Dispensary,-0.5228251,36.9112639,Level 2,Nyeri,Nyeri South,Mahiga,open,Dispensary,Government/Public Entity
Kagumo Health Centre,-0.4740749,37.2372303,Level 3,Kirinyaga,Kirinyaga Central,Mutira,open,Health Center,Government/Public Entity
Kagumo Live Giving Dispensary/Laboratory,-0.4725713,37.2381031,Level 2,Kirinyaga,Kirinyaga Central,Mutira,open,Dispensary,Faith Based
Kagumoini Dispensary (Muranga North),-0.6199633,36.9875867,Level 2,Muranga,Mathioya,Kiru,open,Dispensary,Government/Public Entity
Joeroyal Medical Centre (Samburu Central),1.0988322,36.6991546,Level 2,Samburu,NA,Maralal,open,Medical Clinic,Private
Kagumoini Dispensary (Muranga South),-0.8972717,37.0717856,Level 2,Muranga,Kandara,Gaichanjiru,open,Dispensary,Government/Public Entity
Kaguthi Dispensary,-0.8787825,36.9578118,Level 2,Muranga,Kandara,Ithiru,open,Dispensary,Government/Public Entity
Kagwe Dispensary,-1.0035861,36.7367382,Level 2,Kiambu,Lari,Nyanduma,open,Dispensary,Government/Public Entity
Kagwe Health Services Clinic,-1.0033373,36.7435091,Level 2,Kiambu,Lari,Nyanduma,open,Medical Center,Private
Kaharo Dispensary,-0.7985847,37.0614254,Level 2,Muranga,muranga south,Nginda,open,Dispensary,Government/Public Entity
Kahembe Health Centre,0.0246429,36.4536276,Level 3,Nyandarua,Ndaragwa,Kiritta,open,Health Center,Government/Public Entity
Kaheti Dispensary & Maternity,-0.5322684,37.058875,Level 2,Nyeri,Mukurweini,Mukurwe-ini West,open,Dispensary,Faith Based
Kahiga Dispensary,-0.4375572,37.0424334,Level 2,Nyeri,Nyeri Central,Kiganjo/Mathari,open,Dispensary,Government/Public Entity
Kahuho Private Dispensary,-1.21192,36.6745933,Level 2,Kiambu,Kabete,Muguga,open,Medical Clinic,Private
Kahuru Dispensary (Nyandarua South),-0.589739,36.5325457,Level 2,Nyandarua,Kinangop,Engineer,open,Dispensary,Government/Public Entity
Kahuru Dispensary (Nyeri North),-0.4583767,37.1606695,Level 2,Nyeri,Mathira East,Iriaini,open,Dispensary,Government/Public Entity
Kahuti Medical Clinic,-0.692822,36.9680756,Level 2,Muranga,Kiharu,Wangu,open,Medical Clinic,Private
Kaimbaga Dispensary,-0.3881185,36.3854524,Level 2,Nyandarua,Olkalou,Kaimbaga,open,Dispensary,Government/Public Entity
Kairini Dispensary,-0.5444288,37.1692479,Level 2,Kirinyaga,Kirinyaga West,Kiine,open,Dispensary,Government/Public Entity
Kairo Dispensary,-0.608451,36.8685296,Level 2,Muranga,Mathioya,Kiru,open,Dispensary,Government/Public Entity
Kairuthi Dispensary,-0.5333817,36.8891667,Level 2,Nyeri,Nyeri South,Iria-ini,open,Dispensary,Government/Public Entity
Kaiyaba Dispensary,-0.4744003,37.0867012,Level 2,Nyeri,Mathira West,Kirimukuyu,open,Dispensary,Government/Public Entity
Kanjinji Dispensary,-0.6116809,37.4086063,Level 2,Kirinyaga,Kirinyaga South,Murinduko,open,Dispensary,Government/Public Entity
Kakuzi Limited Dispensary,-0.9707583,37.2767945,Level 2,Muranga,Gatanga,Kakuzi/Mitubiri,open,Medical Center,Private
Kamae Forest Dispensary,-0.8506256,36.6050942,Level 2,Kiambu,Lari,Kinale,open,Dispensary,Government/Public Entity
Kamahuha Dispensary,-0.8455432,37.1786918,Level 2,Muranga,muranga south,Kamahuha,open,Dispensary,Government/Public Entity
Kambirwa Health Centre,-0.7438181,37.1963867,Level 3,Muranga,Kiharu,Mbiri,open,Health Center,Government/Public Entity
Kambiti Health Centre,-0.8313244,37.2346527,Level 3,Muranga,muranga south,Kambiti,open,Health Center,Government/Public Entity
Kambui (PCEA) Dispensary,-1.1009084,36.8626873,Level 2,Kiambu,Githunguri,Ngewa,open,Dispensary,Faith Based
Kamburaini Dispensary,-0.206085,37.0979367,Level 2,Nyeri,Kieni East,Naromoru/Kiamathaga,open,Dispensary,Government/Public Entity
Kamburu (PCEA) Dispensary,-1.0285318,36.7401386,Level 2,Kiambu,Lari,Kamburu,open,Dispensary,Faith Based
Kamfas Clinic,-0.611015,37.202555,Level 2,Kirinyaga,Kirinyaga West,Kariti,open,Medical Clinic,Private
