"facility","latitude","longitude","keph_level","county","subcounty","ward","facility_status","facility_type","facility_owner",".original_row",".matched_county",".county_match"
"Ewangan Health centre",-2.0836152,37.2616702,"Level 3","Kajiado","Kajiado East","Kenyawa-poka","open","Health Center","Government/Public Entity",10557,"Kajiado",TRUE
"Mosecare Medical Clinic",-0.9143484,37.07967,"Level 2","Muranga","Kandara","Kagundu-ini","open","Medical Clinic","Private",10558,"Muranga",TRUE
"The Royal London International Ltd-Poly Clinic",-1.2622982,36.8224087,"Level 3","Nairobi","Westlands","Parklands/Highridge","open","Medical Center","Private",10559,"Nairobi",TRUE
"Muhtasham Bakra Medical Clinic",-3.8661401,39.4732082,"Level 2","Kilifi","Kaloleni","Mariakani","open","Medical Clinic","Private",10560,"Kilifi",TRUE
"Orizon Medical Center",-0.9695267,34.2549267,"Level 3","Migori","Nyatike","North Kadem","open","Medical Clinic","Private",10561,"Migori",TRUE
"Vallecula Medicare (Bungoma)",0.5897282,34.7770704,"Level 2","Bungoma",NA,"Maraka","open","Medical Clinic","Private",10562,"Bungoma",TRUE
"Chrischem Medical Clinic Gatimbi (Meru)",-0.0098308,37.660435,"Level 2","Meru",NA,"Abo- central","open","Medical Clinic","Private",10563,"Meru",TRUE
"Wellness Laboratory (Laikipia)",0.0344058,36.3620927,"Level 2","Laikipia",NA,"Igwamiti","open","Stand-Alone service","Private",10564,"Laikipia",TRUE
"Kimwanga Medical Centre (Bungoma)",0.597939,34.4424431,"Level 2","Bungoma",NA,"Siboti","open","Health Center","Private",10565,"Bungoma",TRUE
"Gurasa Health Care Clinic (Mombasa)",-4.0529754,39.6638528,"Level 2","Mombasa",NA,"Majengo","open","Medical Clinic","Private",10566,"Mombasa",TRUE
"West End Medical Services (Meru county)",-0.010165,37.6601876,"Level 2","Meru",NA,"Abothuguchi","open","Medical Clinic","Private",10567,"Meru",TRUE
"Sidian Trinity Family Medicine (Nairobi)",-1.2049306,36.8930699,"Level 2","Nairobi",NA,"Zimmerman","open","Medical Clinic","Private",10568,"Nairobi",TRUE
"Neema Medical Services Ngundune (Meru)",0.1885878,37.7680745,"Level 2","Meru",NA,"kianjai ward","open","Medical Clinic","Private",10569,"Meru",TRUE
"Aga Khan Hospital Likoni (Mombasa)",-4.1000867,39.6444667,"Level 2","Mombasa",NA,"Shikadabu","open","Medical Center","Private",10570,"Mombasa",TRUE
"Cheni Digital Diagnostic Centre (Makueni)",-1.7476317,37.4601238,"Level 2","Makueni",NA,"Kilala Mukuyuni","open","Medical Center","Private",10571,"Makueni",TRUE
"Ccs Maua Medical Centre (Meru)",0.2342198,37.9432688,"Level 2","Meru",NA,"Igembe South","open","Medical Center","Faith Based",10572,"Meru",TRUE
"Nyandwela Medical Clinic (Siaya)",-0.0602052,34.4258802,"Level 2","Siaya",NA,"South Gem","open","Medical Clinic","Private",10573,"Siaya",TRUE
"Lufex Medical Centre (Kajiado)",-1.4811495,36.9568361,"Level 2","Kajiado",NA,"Kitengela town","open","Medical Center","Private",10574,"Kajiado",TRUE
"Zakma Medical Clinic (Garissa)",-0.4443763,39.6434754,"Level 2","Garissa",NA,"Township","open","Medical Clinic","Private",10575,"Garissa",TRUE
"Brooke Band Hospital (Laikipia)",0.0369259,36.3613134,"Level 2","Laikipia",NA,"Igwamiti","open","Medical Center","Private",10576,"Laikipia",TRUE
"Wema Healthcare Kenya (Kisumu)",-0.1157471,34.7862005,"Level 3","Kisumu",NA,"Kolwua ward","open","Medical Center","Private",10577,"Kisumu",TRUE
"Utu Wema Diagnostics And Hospital (Meru)",0.123509,37.8348029,"Level 2","Meru",NA,"Mikinduri","open","Stand-Alone service","Private",10578,"Meru",TRUE
"Engineer Medical Cliniic (Nyandarua)",-0.6051847,36.5747644,"Level 2","Nyandarua",NA,"Muruaki","open","Medical Clinic","Private",10579,"Nyandarua",TRUE
"Kitengela Eye And Medical Clinic (Kajiado)",-1.4757525,36.9580437,"Level 2","Kajiado",NA,"Oloosirkon","open","Medical Clinic","Private",10580,"Kajiado",TRUE
"Meleta Medical Clinic (Kajiado)",-1.4821755,36.9529839,"Level 3","Kajiado",NA,"Oloosirkon","open","Health Center","Private",10581,"Kajiado",TRUE
"Alphalife Medical Clinic (Kiambu)",-1.1716392,36.8413639,"Level 2","Kiambu",NA,"Riabai","open","Medical Center","Private",10582,"Kiambu",TRUE
"Toipan Medical Clinic (Kajiado)",-1.4489967,36.6900917,"Level 2","Kajiado",NA,"Kajiado West","open","Medical Clinic","Private",10583,"Kajiado",TRUE
"Springs Dental Clinic (Kajiado)",-1.4727348,36.9572018,"Level 2","Kajiado",NA,"Oloosirkon/Sholinke","open","Stand-Alone service","Private",10584,"Kajiado",TRUE
"Aaliyah Medical Centre (Kajiado)",-1.5532283,36.9392713,"Level 2","Kajiado",NA,"Isinya","open","Medical Clinic","Private",10585,"Kajiado",TRUE
"Salmus Prestige Medicare (Nairobi)",-1.2514624,36.9522639,"Level 2","Nairobi",NA,"Mihango","open","Medical Clinic","Private",10586,"Nairobi",TRUE
"Pwani Derma Care (Mombasa)",-4.051488,39.6736727,"Level 2","Mombasa",NA,"Tononoko","open","Stand-Alone service","Private",10587,"Mombasa",TRUE
"Stadia Medical Clinic (Meru)",-0.0036137,37.5934759,"Level 2","Meru",NA,"Abothoguchi West","open","Medical Clinic","Private",10588,"Meru",TRUE
"Tricare Medical Clinic (Vihiga)",0.028803,34.5817531,"Level 2","Vihiga",NA,"Mwibona","open","Medical Clinic","Private",10589,"Vihiga",TRUE
"University Way Medical Services (Kwale)",-4.3043496,39.5540077,"Level 2","Kwale",NA,"Ukunda","open","Medical Clinic","Private",10590,"Kwale",TRUE
"Jidah Medical Centre Limited (Garissa)",-0.4861816,39.6562988,"Level 2","Garissa",NA,"Iftin","open","Medical Center","Private",10591,"Garissa",TRUE
"Adoriza Pharmacy And Medical (Garissa)",-0.4860417,39.6555268,"Level 2","Garissa",NA,"Iftin","open","Medical Clinic","Private",10592,"Garissa",TRUE
"The Delight Family Medical Centre (Muranga)",-0.7044705,37.181158,"Level 2","Muranga",NA,"Gaturi","open","Medical Center","Private",10593,"Muranga",TRUE
"Tumaini Clinic (Kwale)",-4.2752249,39.5667114,"Level 2","Kwale",NA,"Gombato","open","Medical Clinic","Private",10594,"Kwale",TRUE
"Ndaptabwa Medical Centre (Nandi)",0.2285769,35.1438383,"Level 3","Nandi",NA,"Kosirai","open","Medical Center","Private",10595,"Nandi",TRUE
"Theorems Medical Clinic (Mombasa)",-4.1025164,39.6427229,"Level 2","Mombasa",NA,"Shika Adabu","open","Medical Clinic","Private",10596,"Mombasa",TRUE
"Kiptome Dispensary (Kericho)",-0.4017499,35.1272399,"Level 2","Kericho",NA,"Kabianga","open","Dispensary","Government/Public Entity",10597,"Kericho",TRUE
"Uzima Medicare (Siaya)",0.050653,34.4379265,"Level 2","Siaya",NA,"West Gem","open","Health Center","Private",10598,"Siaya",TRUE
"Sheikhn Dental Clinic (Makueni)",-2.0810181,37.4737697,"Level 2","Makueni",NA,"Emali","open","Medical Clinic","Private",10599,"Makueni",TRUE
"Moyale Afya Medical Clinic (Moyale)",3.5208331,39.0560957,"Level 2","Marsabit",NA,"Moyale Township","open","Medical Clinic","Private",10600,"Marsabit",TRUE
"Cinen Medical Clinic (Nairobi)",-1.2169021,36.8910913,"Level 3","Nairobi",NA,"Roysambu","open","Medical Clinic","Private",10601,"Nairobi",TRUE
"Apex Mountain Hospital (Marsabit)",2.335046,37.9906239,"Level 3","Marsabit",NA,"Saku","open","Hospital","Private",10602,"Marsabit",TRUE
"Joscate Medical Clinic (Meru)",0.0213019,37.6175571,"Level 2","Meru",NA,"Abothuguchi west","open","Medical Clinic","Private",10603,"Meru",TRUE
"Across Western Medical Centre (VIHIGA)",0.0256828,34.586292,"Level 3","Vihiga",NA,"Luanda township","open","Nursing Home","Private",10604,"Vihiga",TRUE
"Rosah Medical Clinic (Meru)",0.1540437,37.6572167,"Level 2","Meru",NA,"Ruiri Rwarera","open","Medical Clinic","Private",10605,"Meru",TRUE
"Hills X-Ray (Meru)",0.1233151,37.8370054,"Level 2","Meru",NA,"Mikinduri","open","Stand-Alone service","Private",10606,"Meru",TRUE
"Juge Medical Clinic (Kajiado)",-1.4726436,36.9574823,"Level 2","Kajiado",NA,"Oloosirkon/Sholinke","open","Medical Clinic","Private",10607,"Kajiado",TRUE
"Family Medical Centre (Kilifi)",-3.6828637,39.8165148,"Level 2","Kilifi",NA,"Mnarani","open","Medical Center","Private",10608,"Kilifi",TRUE
"Fahoann Medical Services (Bungoma)",0.593107,34.4889723,"Level 2","Bungoma",NA,"West bukusu","open","Medical Clinic","Private",10609,"Bungoma",TRUE
"Rayhaan Healthcare (Nairobi)",-1.2622573,36.822381,"Level 3","Nairobi",NA,"Highridge","open","Medical Center","Private",10610,"Nairobi",TRUE
"Jellinne (Nairobi)",-1.2871705,36.742931,"Level 2","Nairobi",NA,"Kawanvware","open","Medical Clinic","Private",10611,"Nairobi",TRUE
"Afya Medical Clinic And Nursing Home (wajir)",1.7447767,40.0569099,"Level 3","Wajir",NA,"township","open","Nursing Home","Private",10612,"Wajir",TRUE
"Anjilu Amani Medical Clinic (Meru)",0.1235901,37.8346937,"Level 2","Meru",NA,"Mikinduri","open","Medical Clinic","Private",10613,"Meru",TRUE
"Aga Khan Health Services, Kenya- Ruai (Nairobi)",-1.2616743,36.9758219,"Level 3","Nairobi",NA,"Ruai","open","Medical Clinic","Private",10614,"Nairobi",TRUE
"New Iftin Medical Clinic (Garissa)",-0.48522,39.6541833,"Level 2","Garissa",NA,"Iftin","open","Medical Clinic","Private",10615,"Garissa",TRUE
"Wisekare Medical Centre (Vihiga)",0.0233033,34.5883416,"Level 2","Vihiga",NA,"Luanda","open","Medical Clinic","Private",10616,"Vihiga",TRUE
"East End Clinic (Meru)",0.1633338,37.7482332,"Level 2","Meru",NA,"Kianjai ward","open","Medical Clinic","Private",10617,"Meru",TRUE
"Springheal Medical Clinic (Kirinyaga)",-0.68596,37.358019,"Level 2","Kirinyaga",NA,"Tebere Ward","open","Medical Clinic","Private",10618,"Kirinyaga",TRUE
"The Morning Star Medical Clinic &Chemist (Lamu)",-2.3912858,40.698382,"Level 2","Lamu",NA,"Bahari","open","Medical Clinic","Private",10619,"Lamu",TRUE
"Kasanga Medical Clinic (Makueni)",-1.7474604,37.4634275,"Level 2","Makueni",NA,"Ukia Kilala","open","Medical Center","Private",10620,"Makueni",TRUE
"Baraka Healthcare Clinic (Nairobi)",-1.2667317,36.7503918,"Level 2","Nairobi",NA,"Kangemi","open","other","Private",10621,"Nairobi",TRUE
"Dentine Royaly Dental Clinic (Laikipia)",0.0344566,36.3625966,"Level 2","Laikipia",NA,"Igwamitii","open","Stand-Alone service","Private",10622,"Laikipia",TRUE
"Skywave Medical Clinic (Kwale)",-4.2730828,39.5686062,"Level 2","Kwale",NA,"Gombato","open","Medical Clinic","Private",10623,"Kwale",TRUE
"Aga Khan Medical Centre Malindi (Kiifi)",-3.2087518,40.1167048,"Level 3","Kilifi",NA,"Sabaki","open","Medical Clinic","Private",10624,"Kilifi",TRUE
"Fredem Dental Care (Meru)",0.1238219,37.8376711,"Level 2","Meru",NA,"Mikinduri","open","Stand-Alone service","Private",10625,"Meru",TRUE
"Rona Medical Clinic (Bungoma)",0.646478,34.5149896,"Level 2","Bungoma",NA,"Tuti marakaru","open","Medical Clinic","Private",10626,"Bungoma",TRUE
"Jezreel Medical Laboratories (Makueni)",-1.7483438,37.4656857,"Level 2","Makueni",NA,"Ukia-kilala","open","Stand-Alone service","Private",10627,"Makueni",TRUE
"Crecia Medical Clinic (Kisumu)",-0.1174538,34.7595911,"Level 2","Kisumu",NA,"Nyalenda B","open","Medical Clinic","Private",10628,"Kisumu",TRUE
"Sidai Lonestaff Healthcare (Kajiado county)",-1.3932618,36.6835284,"Level 3","Kajiado",NA,"Olkeri","open","Medical Center","Private",10629,"Kajiado",TRUE
"Merident Dental (Kajiado)",-1.4776428,36.9588266,"Level 2","Kajiado",NA,"Kitengela town","open","other","Private",10630,"Kajiado",TRUE
"Nalasol Medical Centre (Meru)",0.1631793,37.7479059,"Level 2","Meru",NA,"Kianjai","open","Medical Center","Private",10631,"Meru",TRUE
"Ethil Medical Service (Garissa)",-0.4831308,39.6500536,"Level 2","Garissa",NA,"Iftin","open","Medical Center","Private",10632,"Garissa",TRUE
"Mumenyeeri Intergrated Health Care Services (Meru)",0.121224,37.838042,"Level 2","Meru",NA,"Mikinduri","open","Medical Clinic","Private",10633,"Meru",TRUE
"Tumaini Medical Centre (Meru)",0.0862884,37.2413984,"Level 2","Meru",NA,"Timau sub county","open","Medical Clinic","Private",10634,"Meru",TRUE
"Upeoni Medical Clinic (Kilifi)",-3.863853,39.4770277,"Level 2","Kilifi",NA,"Mariakani ward","open","Medical Clinic","Private",10635,"Kilifi",TRUE
"Faraja Familycare Hospital Ltd Clinic (Baringo)",-0.0199482,35.9631191,"Level 2","Baringo",NA,"Mogotio","open","Medical Clinic","Private",10636,"Baringo",TRUE
"Braton Medical Centre (Nairobi)",-1.2860285,36.739715,"Level 2","Nairobi",NA,"Kawangware","open","Medical Center","Private",10637,"Nairobi",TRUE
"West Oljoroorok Medical Clinic (Nyandarua)",-0.0672742,36.3201665,"Level 2","Nyandarua",NA,"Gathanji","open","Medical Clinic","Private",10638,"Nyandarua",TRUE
"Kelvin's Healthcare (Nyandarua)",-0.0681522,36.3196876,"Level 2","Nyandarua",NA,"Gathanji","open","Health Center","Private",10639,"Nyandarua",TRUE
"Silverstone Health Care Clinic (Vihiga)",0.020366,34.5910288,"Level 2","Vihiga",NA,"Luanda","open","Medical Clinic","Private",10640,"Vihiga",TRUE
"Harmony Medical Clinic (Muranga)",-0.8217911,37.1798061,"Level 2","Muranga",NA,"Kamahuha","open","Medical Clinic","Private",10641,"Muranga",TRUE
"Agah Khan Medical Centre (Busia)",0.4633725,34.1040464,"Level 3","Busia",NA,"Burumba","open","Health Center","Private",10642,"Busia",TRUE
"Saifi Medical Clinic (Mombasa)",-4.083715,39.6538987,"Level 2","Mombasa",NA,"Bofu","open","Medical Clinic","Private",10643,"Mombasa",TRUE
"Faith And Works Clinic (Meru)",0.1606952,37.7473794,"Level 2","Meru",NA,"Kianjai ward","open","Medical Clinic","Private",10644,"Meru",TRUE
"Baraka Children's Clinic (Nairobi)",-1.2305783,36.9314535,"Level 2","Nairobi",NA,"Mwiki","open","Medical Clinic","Private",10645,"Nairobi",TRUE
"Vigarace Health Services (Kajiado)",-1.477395,36.958638,"Level 2","Kajiado",NA,"Kitengela","open","Medical Clinic","Private",10646,"Kajiado",TRUE
"St. Rita Hospital Timau (Meru)",0.0842316,37.2393336,"Level 3","Meru",NA,"Buuri West","open","Hospital","Private",10647,"Meru",TRUE
"Sonowave Diagnostics (Kajiado)",-1.4772978,36.9584304,"Level 2","Kajiado",NA,"Kitengela town","open","other","Private",10648,"Kajiado",TRUE
"Kianjai Medical Centre And Laboratory Services (Meru)",0.1620401,37.7463363,"Level 2","Meru",NA,"Kianjai","open","Medical Clinic","Private",10649,"Meru",TRUE
"Emipocy Medical Clinic (Lamu)",-2.3914274,40.6985612,"Level 2","Lamu",NA,"Bahari","open","Medical Clinic","Private",10650,"Lamu",TRUE
"Kilala Medical Centre (Makueni)",-1.7703032,37.5535135,"Level 2","Makueni",NA,"Ukia-kilala","open","Medical Clinic","Private",10651,"Makueni",TRUE
"St Faustina (Kajiado)",-1.3964996,36.744646,"Level 2","Kajiado",NA,"Ongata Rongai","open","Medical Clinic","Private",10652,"Kajiado",TRUE
"New Delta Medical Clinic (Garissa)",-0.4753171,39.6452576,"Level 2","Garissa",NA,"Iftin","open","Medical Clinic","Private",10653,"Garissa",TRUE
"Dr Esther Kanini Mutakha Dental Clinic (Nakuru)",-0.2835646,36.0736839,"Level 2","Nakuru",NA,"Biashara","open","Stand-Alone service","Private",10654,"Nakuru",TRUE
"Lj Malel (Elgeyo Marakwet)",0.6690173,35.5057148,"Level 2","Elgeyo Marakwet","Keiyo South","Kamariny","open","Medical Center","Private",10655,"Elgeyo Marakwet",TRUE
"Sohan Medical Centre (Nairobi)",-1.2141419,36.8957926,"Level 2","Nairobi",NA,"Zimmerman","open","Medical Center","Private",10656,"Nairobi",TRUE
"Huvans Medical Centre (Nairobi)",-1.2882529,36.9041399,"Level 3","Nairobi",NA,"Embakasi East","open","Medical Center","Private",10657,"Nairobi",TRUE
"Kisumu Orthopaedic Clinic (Kisumu)",-0.0918343,34.7660955,"Level 2","Kisumu",NA,"Kibuye","open","Medical Clinic","Private",10658,"Kisumu",TRUE
"Huruma Medical Services  Muranga (Muranga)",-0.7317368,37.1499085,"Level 2","Muranga",NA,"Township","open","Medical Clinic","Private",10659,"Muranga",TRUE
"Sanjem (Lamu)",-2.3894268,40.6971243,"Level 2","Lamu",NA,"Bahari","open","Medical Clinic","Private",10660,"Lamu",TRUE
"Megalife Medical Centre Limited (Nairobi)",-1.2708331,36.9966997,"Level 3","Nairobi",NA,"Ruai","open","Medical Center","Private",10661,"Nairobi",TRUE
"Eden Park Healthcare (Nairobi)",-1.2846323,36.9001926,"Level 2","Nairobi",NA,"Umoja 2","open","Medical Clinic","Private",10662,"Nairobi",TRUE
"Adolife Health Solutions (Nairobi)",-1.2707441,36.9972821,"Level 3","Nairobi",NA,"Ruai","open","Medical Clinic","Private",10663,"Nairobi",TRUE
"Chemororoch Dispensary (Kericho)",-0.3593899,35.1529771,"Level 2","Kericho",NA,"Waldai","open","Dispensary","Government/Public Entity",10664,"Kericho",TRUE
"Bigsmile Dental Clinic (Kajiado)",-1.4806091,36.9569428,"Level 2","Kajiado",NA,"Kitengela","open","Medical Clinic","Private",10665,"Kajiado",TRUE
"Flex Physiotherapy (Kajiado)",-1.4772759,36.9586428,"Level 2","Kajiado",NA,"Kitengela","open","Stand-Alone service","Private",10666,"Kajiado",TRUE
"Access Afia Curafa (Nairobi)",-1.2103168,36.8852898,"Level 2","Nairobi",NA,"Roysambu","open","Medical Clinic","Private",10667,"Nairobi",TRUE
"Zaro Clinic (Mombasa)",-4.0847974,39.6543364,"Level 2","Mombasa",NA,"Likoni","open","Medical Clinic","Private",10668,"Mombasa",TRUE
"Golden Palms Medical Clinic (Kilifi)",-3.6874449,39.7981464,"Level 2","Kilifi",NA,"Mnarani","open","Medical Clinic","Private",10669,"Kilifi",TRUE
"Ponya Medical Centre (Nairobi)",-1.2350563,36.9345953,"Level 2","Nairobi",NA,"Kasarani","open","Medical Center","Private",10670,"Nairobi",TRUE
"Imani Health Care (Meru)",0.0839028,37.7781458,"Level 2","Meru",NA,"Mbeu","open","Medical Clinic","Private",10671,"Meru",TRUE
"Fast Pro Clinic And Lab (Meru)",0.0915162,37.6555152,"Level 2","Meru",NA,"Nyaki west","open","Medical Clinic","Private",10672,"Meru",TRUE
"Al- Nas Nursing  Home (Mandera county)",3.9286915,41.8460399,"Level 3","Mandera",NA,"Township","open","Nursing Home","Private",10673,"Mandera",TRUE
"Kind Medical Services (Meru)",0.0874792,37.6532881,"Level 2","Meru",NA,"Nyaki west","open","Medical Clinic","Private",10674,"Meru",TRUE
"Neema Intergrated Healthcare Services (Meru)",0.0839832,37.7784861,"Level 2","Meru",NA,"Mbeu","open","Medical Clinic","Private",10675,"Meru",TRUE
"Forthall Health Services (Muranga)",-0.729559,37.1513638,"Level 2","Muranga",NA,"Township","open","Medical Center","Private",10676,"Muranga",TRUE
"Samarin Medical Clinic (Uasin Gishu)",0.3923326,35.3311957,"Level 2","Uasin Gishu",NA,"Kipchamo","open","Medical Clinic","Private",10677,"Uasin Gishu",TRUE
"Hadado Maternity And Nursong Home (Wajir)",1.5307723,39.428349,"Level 3","Isiolo",NA,"Hadado ward","open","Nursing Home","Private",10678,"Isiolo",TRUE
"Matasia Family Medical Centre (Kajiado)",-1.3891512,36.6802291,"Level 2","Kajiado",NA,"Olkeri","open","Medical Clinic","Private",10679,"Kajiado",TRUE
"Good Shepherd (Kajiado)",-1.3625141,36.6734285,"Level 2","Kajiado",NA,"Oloolua","open","Medical Clinic","Private",10680,"Kajiado",TRUE
"Meru Prime Medical Clinic (Meru)",0.275132,37.88807,"Level 2","Meru",NA,"Kangeta","open","Medical Clinic","Private",10681,"Meru",TRUE
"Kangeta Modern Clinic (Meru)",0.2750965,37.8858948,"Level 2","Meru",NA,"Kangeta","open","Medical Clinic","Private",10682,"Meru",TRUE
"Revels Medical Centre (Kajiado north)",-1.3587765,36.6773062,"Level 3","Kajiado",NA,"Kajiado north","open","Medical Center","Private",10683,"Kajiado",TRUE
"Maxly Highway Medical Clinic (Vihiga)",0.1214183,34.7837133,"Level 2","Vihiga",NA,"Wodanga","open","Medical Clinic","Private",10684,"Vihiga",TRUE
"Al-Nasser Medical (Mombasa)",-4.0566883,39.6736949,"Level 2","Mombasa",NA,"Mji wa Kale / Makadara","open","Medical Clinic","Private",10685,"Mombasa",TRUE
"Damasteen Health Care Centre (Kilifi)",-3.6323483,39.8545557,"Level 2","Kilifi",NA,"Sokoni","open","Medical Clinic","Private",10686,"Kilifi",TRUE
"Ndagani Uzima Cfw (Tharaka Nithi)",-0.3226617,37.6603117,"Level 2","Tharaka Nithi",NA,"Karingani","open","Medical Clinic","Private",10687,"Tharaka Nithi",TRUE
"Kakuyuni Health Services (Kilifi)",-3.221443,40.0010713,"Level 2","Kilifi",NA,"Kakuyuni","open","Medical Clinic","Private",10688,"Kilifi",TRUE
"Angels Of Mercy Medical Clinic (Kilifi)",-3.2143456,40.1024706,"Level 2","Kilifi",NA,"Malinfi town","open","Medical Clinic","Private",10689,"Kilifi",TRUE
"Mikuyuni Dispensary (Kitui Central) (Kitui)",-1.170611,38.1495581,"Level 2","Kitui",NA,"Miambani","open","Dispensary","Government/Public Entity",10690,"Kitui",TRUE
"Yatia Dispensary (Baringo)",0.7884701,35.9236577,"Level 2","Baringo",NA,"Saimo Soi","open","Dispensary","Government/Public Entity",10691,"Baringo",TRUE
"Cinen Medical Clinic Limited (Nairobi)",-1.215767,36.8874858,"Level 2","Nairobi",NA,"Ruaraka","open","Medical Clinic","Private",10692,"Nairobi",TRUE
"Jayo  Annex Medical Clinic (Vihiga)",0.1158424,34.769505,"Level 2","Vihiga",NA,"North Maragoli","open","Medical Clinic","Private",10693,"Vihiga",TRUE
"Medstand Health Clinic (Kirinyaga)",-0.5033738,37.3123061,"Level 2","Kirinyaga",NA,"Ithare","open","Medical Clinic","Private",10694,"Kirinyaga",TRUE
"Westlands Medical Centre (Nairobi city)",-1.2643692,36.8037807,"Level 3","Nairobi",NA,"Parklands Highridge","open","Medical Center","Private",10695,"Nairobi",TRUE
"Boji Dispensary (Marsabit)",2.8792561,37.6490736,"Level 2","Marsabit",NA,"Maikona","open","Dispensary","Government/Public Entity",10696,"Marsabit",TRUE
"Flopenel Medical Clinic (Murang'a)",-0.9573047,37.0199002,"Level 2","Muranga",NA,"Kihumbuini","open","Dispensary","Private",10697,"Muranga",TRUE
"Pundo Medical Clinic (Kisumu)",-0.0770483,34.7412997,"Level 2","Kisumu",NA,"Bandani","open","Medical Clinic","Private",10698,"Kisumu",TRUE
"Restore Physiotherapy Clinic (Nyeri)",-0.4215425,36.9415203,"Level 2","Nyeri",NA,"Kamakwa","open","Medical Clinic","Private",10699,"Nyeri",TRUE
"Prime (Muranga)",-0.9580345,37.0201213,"Level 2","Muranga",NA,"Kihumbu-ini","open","other","Private",10700,"Muranga",TRUE
"Cheptiret Medical Clinic (Uasin Gishu)",0.3581725,35.3561676,"Level 2","Uasin Gishu",NA,"Cheptiret","open","Medical Clinic","Private",10701,"Uasin Gishu",TRUE
"Radlife Medical Centre (Nairobi)",-1.2834206,36.7367615,"Level 2","Nairobi",NA,"Kawangware","open","Medical Center","Private",10702,"Nairobi",TRUE
"Grandhope Healthcare Medical Centre (Nakuru)",-0.3222619,36.1482165,"Level 2","Nakuru",NA,"Barnabas","open","Medical Center","Private",10703,"Nakuru",TRUE
"Buruburu Dental Centre (Nairobi)",-1.2860597,36.8273302,"Level 2","Nairobi",NA,"Starehe","open","other","Private",10704,"Nairobi",TRUE
"Highway Sanctuary Medical Clinic  Matasia (Kajiado)",-1.391419,36.6818457,"Level 2","Kajiado",NA,"Olkeri","open","Medical Clinic","Private",10705,"Kajiado",TRUE
"Kinoro Imani Clinic (Meru)",-0.1774527,37.6270237,"Level 2","Meru",NA,"Igoji west","open","Medical Clinic","Private",10706,"Meru",TRUE
"Heights Dental Limited (Kiambu)",-1.0369389,37.0738869,"Level 2","Kiambu",NA,"Township","open","other","Private",10707,"Kiambu",TRUE
"Wema Medical Clinic (Naivasha) (Nakuru)",-0.7204342,36.438298,"Level 2","Nakuru",NA,"Viwandani","open","Medical Clinic","Private",10708,"Nakuru",TRUE
"Yeshua Medicare (Mombasa)",-4.001651,39.7042079,"Level 2","Mombasa",NA,"Shanzu","open","Medical Clinic","Private",10709,"Mombasa",TRUE
"Southern Community Medical Clinic (Meru)",-0.179021,37.6252729,"Level 2","Meru",NA,"Igoji west","open","Medical Clinic","Private",10710,"Meru",TRUE
"Mtembur Dispensary (West pokot)",1.3547591,35.0434843,"Level 2","West Pokot",NA,"Riwo","open","Dispensary","Government/Public Entity",10711,"West Pokot",TRUE
"Lakeview Medical Surgical (Nakuru)",-0.720749,36.4404106,"Level 2","Nakuru",NA,"Viwandani","open","Medical Clinic","Private",10712,"Nakuru",TRUE
"St Monica Karuna Medical Care (Uasin ngishu)",0.7661664,35.3844586,"Level 2","Uasin Gishu",NA,"Moiben","open","Dispensary","Private",10713,"Uasin Gishu",TRUE
"Neema  Bliss Medical Clinic (Nyeri)",-0.380544,37.0025192,"Level 2","Nyeri",NA,"Kiganjo/mathari","open","Medical Clinic","Private",10714,"Nyeri",TRUE
"Philnet Medical Clinic (Meru)",0.0547447,37.7175437,"Level 2","Meru",NA,"Nyaki East","open","Medical Clinic","Private",10715,"Meru",TRUE
"St. Mary's Dispensary Idsowe (Tana River)",-2.3002485,40.123735,"Level 2","Tana River",NA,"Garsen South","open","Dispensary","Faith Based",10716,"Tana River",TRUE
"Wema Clinic Sertwet (Uasin Gishu)",0.4188833,35.3177017,"Level 2","Uasin Gishu",NA,"Cheplaskei","open","Medical Clinic","Private",10717,"Uasin Gishu",TRUE
"Eagle Health And Clinics Services Riruta Branch (Nairobi)",-1.2848816,36.7372301,"Level 3","Nairobi",NA,"Kawangware","open","Medical Center","Private",10718,"Nairobi",TRUE
"Hapsa Medical Centre (Kirinyaga)",-0.4298522,37.3094428,"Level 3","Kirinyaga",NA,"Kabare","open","Medical Center","Private",10719,"Kirinyaga",TRUE
"Yago Dispensary (Kisumu)",-0.0805064,35.1786125,"Level 2","Kisumu",NA,"Chemelil tamu","open","Dispensary","Government/Public Entity",10720,"Kisumu",TRUE
"Igandene Catholic Dispensary (Meru)",-0.1178382,37.6270504,"Level 2","Meru",NA,"Abogeta West","open","Dispensary","Faith Based",10721,"Meru",TRUE
"In Two Health Medical Supplies Limited (Kisumu)",-0.0716083,34.6644617,"Level 2","Kisumu",NA,"South West Kisumu","open","Medical Clinic","Private",10722,"Kisumu",TRUE
"Dubois Medical & Skin Clinic Ltd (Starehe)",-1.2821978,36.8258637,"Level 2","Nairobi",NA,"Starehe","open","Medical Clinic","Private",10723,"Nairobi",TRUE
"Bravin Hospital Limited (Muranga)",-0.9459739,37.0209204,"Level 2","Muranga",NA,"Ngararia","open","Medical Center","Private",10724,"Muranga",TRUE
"Afimat Medical Clinic (Mombasa)",-4.0588437,39.6765644,"Level 2","Mombasa",NA,"Mji wa Kale / Makadara","open","Medical Clinic","Private",10725,"Mombasa",TRUE
